game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,pitcher_throws,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success,double_steal
BOS202405100,2024/05/10,BOS07,5,0,0,2,younj004,R,houct001,R,wongc001,abrac001,00,3,1,2,younj004,,,1,0
BOS202405100,2024/05/10,BOS07,9,0,2,2,rosae001,L,jansk001,R,wongc001,lipst001,00,3,1,2,rosae001,,,1,0
BOS202405100,2024/05/10,BOS07,9,0,2,2,roblv001,R,jansk001,R,wongc001,younj004,01,5,1,4,roblv001,,,1,0
BOS202405110,2024/05/11,BOS07,5,1,1,2,hamid002,L,irvij001,R,ruizk001,rafac001,01,1,2,-1,hamid002,,,1,0
BOS202405110,2024/05/11,BOS07,8,0,0,2,roblv001,R,martc007,R,mcgur002,younj004,01,2,2,0,roblv001,,,0,0
BOS202405120,2024/05/12,BOS07,1,0,0,2,abrac001,L,bellb002,R,wongc001,garcl006,00,0,0,0,abrac001,,,0,0
BOS202405120,2024/05/12,BOS07,1,1,1,2,gonzr003,R,gorem001,L,adamr004,oneit001,11,0,0,0,gonzr003,,,1,0
BOS202405120,2024/05/12,BOS07,7,0,2,3,rosae001,L,kellz001,R,wongc001,roblv001,01,2,3,-1,adamr004,rosae001,,1,0
BOS202405120,2024/05/12,BOS07,7,0,2,2,adamr004,R,kellz001,R,wongc001,roblv001,12,2,3,-1,adamr004,,rosae001,1,0
BOS202405120,2024/05/12,BOS07,9,0,2,2,senzn001,R,jansk001,R,wongc001,vargi001,00,2,3,-1,senzn001,,,0,0
BOS202405130,2024/05/13,BOS07,1,0,2,2,cabaj001,R,crawk001,R,wongc001,jacka002,00,3,0,3,cabaj001,,palar002,1,0
BOS202405130,2024/05/13,BOS07,2,1,2,2,gonzr003,R,efliz001,R,jacka002,duraj001,12,3,3,0,gonzr003,,,1,0
BOS202405130,2024/05/13,BOS07,4,0,0,3,cabaj001,R,crawk001,R,wongc001,jacka002,00,3,3,0,,cabaj001,,1,0
BOS202405130,2024/05/13,BOS07,5,1,1,2,duraj001,L,efliz001,R,jacka002,abrew002,01,3,4,-1,duraj001,,,0,0
BOS202405130,2024/05/13,BOS07,7,0,2,2,arozr001,R,weisg001,R,wongc001,lowej002,00,4,3,1,arozr001,,,0,0
BOS202405140,2024/05/14,BOS07,5,0,0,2,deluj001,R,piven001,R,mcgur002,palar002,12,1,2,-1,deluj001,,,0,0
BOS202405140,2024/05/14,BOS07,9,0,2,2,rosaa003,R,jansk001,R,mcgur002,palar002,00,3,3,0,rosaa003,,,0,0
